name,all,win,winrate,good,good_win,good_winrate,wolf,wolf_win,wolf_winrate
簡愷樂,245,144,58.77,178,111,62.36,67,33,49.25
羅志祥,144,92,63.83,98,66,67.35,46,26,56.52
陳零九,138,92,67.15,96,70,72.91,42,22,52.38
黃偉晉,136,71,52.21,99,58,58.59,37,13,35.14
邱鋒澤,117,63,54.31,73,47,64.38,44,16,36.36
邱宇辰,105,54,51.43,71,39,54.93,34,15,44.12
小三賴,107,63,58.88,79,51,64.56,28,12,42.86
婁峻碩,98,59,60.20,75,50,66.67,23,9,39.13
小四荳,80,45,56.96,57,37,64.91,23,8,34.78
梁以辰,69,36,52.17,46,27,58.70,23,9,39.13
紀卜心,71,39,54.93,49,31,63.27,22,8,36.36
徐凱希,72,42,58.33,57,36,63.16,15,6,40.00
